carpeta,archivo,satt_true,satt_est,bias,mse,ci_95,ci_ancho,cobertura_ic,modelo_elegido,params_rf,params_gp,tiempo_seg
3,zymu_47360857.csv,2.339969242488174,2.287723799982333,-0.0522454425058414,0.0027295862626311,[2.21791678 2.36359854],0.1456817622252835,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",94.56158113479614
3,zymu_47360949.csv,3.253096393570712,3.363350733863137,0.1102543402924256,0.0121560195533179,[3.28828583 3.44410809],0.1558222614706035,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",95.48271489143372
3,zymu_47360850.csv,4.099822022734848,4.241524724173098,0.1417027014382501,0.0200796555948978,[4.15828569 4.31804563],0.1597599386766717,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",103.74615049362184
3,zymu_47361058.csv,3.8788581967959472,3.903513535711768,0.0246553389158208,0.0006078857370539,[3.83001513 3.98805518],0.1580400548631986,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",115.5491554737091
3,zymu_47360898.csv,7.361739257515132,7.481859803913706,0.1201205463985743,0.014428945667092,[7.36880959 7.59874891],0.2299393175227404,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",140.49032354354858
3,zymu_47361085.csv,2.5931971027666023,2.553301483039756,-0.0398956197268467,0.0015916604733891,[2.47247274 2.63268085],0.1602081083234359,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",145.88028144836426
3,zymu_47361081.csv,4.5176436882807405,4.555736504968588,0.0380928166878478,0.0014510626832139,[4.48716748 4.62648204],0.1393145592292857,True,GaussianProcess,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",160.3664994239807
3,zymu_47360959.csv,3.880439553717853,4.257550421445971,0.3771108677281183,0.1422126065586543,[4.16374821 4.33516139],0.1714131746063163,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",92.95423245429993
3,zymu_47361095.csv,3.229325597013043,3.292853603551756,0.0635280065387124,0.0040358076147826,[3.22592982 3.36792886],0.1419990352241886,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",86.80849051475525
3,zymu_47360885.csv,3.877739587735837,3.7201536641530697,-0.1575859235827668,0.0248333233114336,[3.63977334 3.80274809],0.162974755567451,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",101.96726298332214
3,zymu_47361108.csv,3.9454149260327727,4.020886098828935,0.0754711727961625,0.0056958979232282,[3.94151011 4.10569517],0.1641850578875865,True,GaussianProcess,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",106.74253630638124
4,zymu_170630838.csv,2.993181048541908,3.1828469646516693,0.189665916109762,0.0359731597337552,[2.90324847 3.43965216],0.5364036894724724,True,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",80.12805891036987
4,zymu_170630832.csv,-1.3620857252986234,-0.969816625833606,0.3922690994650173,0.1538750463950956,[-1.19966342 -0.68188217],0.5177812452234235,False,RandomForest,"{'n_estimators': 100, 'max_depth': 8, 'min_samples_split': 5, 'random_state': 42, 'n_jobs': -1}","{'kernel': '1**2 * RBF(length_scale=1)', 'alpha': 0.01}",89.1602668762207
